"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Suárez, Eugenio","553993","2024","640","406",0.256,0.247,0.009000000000000008,0.469,0.447,0.021999999999999964,0.337,0.33,0.007000000000000006
"Freeman, Freddie","518692","2024","638","450",0.282,0.278,0.003999999999999948,0.476,0.466,0.009999999999999953,0.365,0.367,-0.0020000000000000018
"Rutschman, Adley","668939","2024","638","475",0.25,0.255,-0.0050000000000000044,0.391,0.393,-0.0020000000000000018,0.309,0.315,-0.006000000000000005
"India, Jonathan","663697","2024","637","417",0.248,0.266,-0.018000000000000016,0.392,0.412,-0.019999999999999962,0.333,0.352,-0.01899999999999996
"Winn, Masyn","691026","2024","637","486",0.267,0.256,0.01100000000000001,0.416,0.358,0.057999999999999996,0.315,0.293,0.02200000000000002
"García, Adolis","666969","2024","637","409",0.224,0.227,-0.0030000000000000027,0.4,0.413,-0.012999999999999956,0.296,0.306,-0.010000000000000009
"Arenado, Nolan","571448","2024","635","493",0.272,0.255,0.017000000000000015,0.394,0.356,0.038000000000000034,0.314,0.296,0.018000000000000016
"Castro, Willi","650489","2024","635","413",0.247,0.244,0.0030000000000000027,0.385,0.381,0.0040000000000000036,0.317,0.32,-0.0030000000000000027
"Alvarez, Yordan","670541","2024","635","461",0.308,0.303,0.0050000000000000044,0.567,0.595,-0.028000000000000025,0.402,0.411,-0.008999999999999952
"Bregman, Alex","608324","2024","634","499",0.26,0.257,0.0030000000000000027,0.453,0.417,0.03600000000000003,0.331,0.319,0.01200000000000001
"Giménez, Andrés","665926","2024","633","495",0.252,0.262,-0.010000000000000009,0.34,0.355,-0.014999999999999958,0.281,0.296,-0.014999999999999958
"Naylor, Josh","647304","2024","633","462",0.243,0.257,-0.014000000000000012,0.456,0.443,0.013000000000000012,0.332,0.335,-0.0030000000000000027
"Harper, Bryce","547180","2024","631","415",0.285,0.267,0.01799999999999996,0.525,0.474,0.051000000000000045,0.38,0.357,0.02300000000000002
"Raleigh, Cal","663728","2024","628","376",0.22,0.233,-0.013000000000000012,0.436,0.476,-0.03999999999999998,0.323,0.346,-0.022999999999999965
"Garcia, Maikel","672580","2024","626","481",0.231,0.26,-0.028999999999999998,0.332,0.366,-0.033999999999999975,0.27,0.3,-0.02999999999999997
"De La Cruz, Bryan","650559","2024","622","419",0.233,0.242,-0.00899999999999998,0.384,0.419,-0.034999999999999976,0.283,0.302,-0.019000000000000017
"Díaz, Yandy","650490","2024","621","472",0.281,0.277,0.0040000000000000036,0.414,0.423,-0.009000000000000008,0.331,0.336,-0.0050000000000000044
"Chisholm Jr., Jazz","665862","2024","621","412",0.256,0.24,0.016000000000000014,0.436,0.415,0.02100000000000002,0.327,0.316,0.01100000000000001
"Verdugo, Alex","657077","2024","621","478",0.233,0.25,-0.016999999999999987,0.356,0.373,-0.017000000000000015,0.283,0.302,-0.019000000000000017
"Diaz, Yainer","673237","2024","619","486",0.299,0.299,0,0.441,0.458,-0.017000000000000015,0.329,0.339,-0.010000000000000009
"Vaughn, Andrew","683734","2024","619","443",0.246,0.244,0.0020000000000000018,0.402,0.44,-0.03799999999999998,0.304,0.319,-0.015000000000000013
"Turang, Brice","668930","2024","619","462",0.254,0.261,-0.007000000000000006,0.349,0.34,0.008999999999999952,0.294,0.297,-0.0030000000000000027
"Springer, George","543807","2024","614","432",0.22,0.244,-0.023999999999999994,0.371,0.402,-0.031000000000000028,0.298,0.322,-0.02400000000000002
"Rooker, Brent","667670","2024","614","373",0.293,0.266,0.02699999999999997,0.562,0.557,0.0050000000000000044,0.392,0.38,0.01200000000000001
"Rodríguez, Julio","677594","2024","613","413",0.273,0.275,-0.0020000000000000018,0.409,0.463,-0.05400000000000005,0.321,0.344,-0.022999999999999965
"Morel, Christopher","666624","2024","611","381",0.196,0.225,-0.028999999999999998,0.346,0.399,-0.05300000000000005,0.28,0.316,-0.035999999999999976
"Schanuel, Nolan","694384","2024","607","426",0.25,0.254,-0.0040000000000000036,0.362,0.355,0.007000000000000006,0.315,0.318,-0.0030000000000000027
"Bohm, Alec","664761","2024","606","474",0.28,0.288,-0.007999999999999952,0.448,0.444,0.0040000000000000036,0.335,0.342,-0.007000000000000006
"Bell, Josh","605137","2024","603","421",0.249,0.239,0.010000000000000009,0.405,0.396,0.009000000000000008,0.317,0.31,0.007000000000000006
"Doyle, Brenton","686668","2024","603","401",0.26,0.254,0.006000000000000005,0.446,0.436,0.010000000000000009,0.328,0.329,-0.0010000000000000009
"Neto, Zach","687263","2024","602","407",0.249,0.236,0.013000000000000012,0.443,0.414,0.029000000000000026,0.33,0.317,0.013000000000000012
"Arcia, Orlando","606115","2024","602","431",0.218,0.206,0.01200000000000001,0.354,0.323,0.030999999999999972,0.273,0.261,0.01200000000000001
"Abrams, CJ","682928","2024","602","418",0.246,0.247,-0.0010000000000000009,0.433,0.409,0.02400000000000002,0.322,0.319,0.0030000000000000027
"Devers, Rafael","646240","2024","601","384",0.272,0.272,0,0.516,0.509,0.007000000000000006,0.364,0.364,0
"Cruz, Oneil","665833","2024","599","364",0.259,0.263,-0.0040000000000000036,0.449,0.461,-0.01200000000000001,0.331,0.34,-0.009000000000000008
"Burleson, Alec","676475","2024","595","478",0.269,0.273,-0.0040000000000000036,0.42,0.435,-0.015000000000000013,0.319,0.329,-0.010000000000000009
"Santana, Carlos","467793","2024","594","424",0.238,0.246,-0.008000000000000007,0.42,0.415,0.0050000000000000044,0.326,0.33,-0.0040000000000000036
"Swanson, Dansby","621020","2024","593","393",0.242,0.244,-0.0020000000000000018,0.39,0.416,-0.025999999999999968,0.307,0.321,-0.014000000000000012
"Merrill, Jackson","701538","2024","593","462",0.292,0.3,-0.008000000000000007,0.5,0.531,-0.031000000000000028,0.352,0.369,-0.017000000000000015
"Smith, Josh","669701","2024","592","407",0.258,0.242,0.016000000000000014,0.394,0.352,0.04200000000000004,0.323,0.304,0.019000000000000017
"Suzuki, Seiya","673548","2024","585","356",0.283,0.255,0.02799999999999997,0.482,0.453,0.02899999999999997,0.365,0.346,0.019000000000000017
"Greene, Riley","682985","2024","584","358",0.262,0.253,0.009000000000000008,0.479,0.477,0.0020000000000000018,0.355,0.353,0.0020000000000000018
"Marte, Ketel","606466","2024","583","407",0.292,0.294,-0.0020000000000000018,0.56,0.538,0.02200000000000002,0.391,0.392,-0.0010000000000000009
"Burger, Jake","669394","2024","579","389",0.25,0.256,-0.006000000000000005,0.46,0.476,-0.01599999999999996,0.325,0.338,-0.013000000000000012
"Soler, Jorge","624585","2024","574","356",0.241,0.244,-0.0030000000000000027,0.442,0.447,-0.0050000000000000044,0.34,0.346,-0.00599999999999995
"Chourio, Jackson","694192","2024","573","410",0.275,0.274,0.0010000000000000009,0.464,0.43,0.03400000000000003,0.339,0.328,0.01100000000000001
"Rafaela, Ceddanne","678882","2024","571","398",0.246,0.229,0.016999999999999987,0.39,0.368,0.02200000000000002,0.286,0.273,0.012999999999999956
"Stott, Bryson","681082","2024","571","422",0.245,0.254,-0.009000000000000008,0.356,0.363,-0.007000000000000006,0.296,0.306,-0.010000000000000009
"Bellinger, Cody","641355","2024","569","432",0.266,0.242,0.02400000000000002,0.426,0.391,0.034999999999999976,0.322,0.301,0.02100000000000002
"Vierling, Matt","663837","2024","567","402",0.257,0.256,0.0010000000000000009,0.423,0.393,0.02999999999999997,0.317,0.309,0.008000000000000007
"Busch, Michael","683737","2024","567","338",0.248,0.217,0.031,0.44,0.418,0.02200000000000002,0.336,0.319,0.017000000000000015
"Lowe, Nathaniel","663993","2024","565","365",0.265,0.252,0.013000000000000012,0.401,0.38,0.02100000000000002,0.337,0.328,0.009000000000000008
"Cowser, Colton","681297","2024","561","330",0.242,0.23,0.011999999999999983,0.447,0.437,0.010000000000000009,0.331,0.326,0.0050000000000000044
"Langford, Wyatt","694671","2024","557","387",0.253,0.257,-0.0040000000000000036,0.415,0.427,-0.01200000000000001,0.321,0.331,-0.010000000000000009
"Keith, Colt","690993","2024","556","408",0.26,0.266,-0.006000000000000005,0.38,0.393,-0.013000000000000012,0.301,0.311,-0.010000000000000009
"Pasquantino, Vinnie","686469","2024","554","439",0.262,0.266,-0.0040000000000000036,0.446,0.438,0.008000000000000007,0.325,0.331,-0.006000000000000005
"Gurriel Jr., Lourdes","666971","2024","553","417",0.279,0.267,0.01200000000000001,0.435,0.421,0.014000000000000012,0.327,0.319,0.008000000000000007
"Walker, Christian","572233","2024","552","354",0.251,0.246,0.0050000000000000044,0.468,0.457,0.01100000000000001,0.343,0.351,-0.007999999999999952
"Gelof, Zack","680869","2024","547","317",0.211,0.199,0.011999999999999983,0.362,0.347,0.015000000000000013,0.276,0.271,0.0050000000000000044
"Smith, Will","669257","2024","544","379",0.248,0.24,0.008000000000000007,0.433,0.443,-0.010000000000000009,0.326,0.331,-0.0050000000000000044
"Kwan, Steven","680757","2024","540","431",0.292,0.284,0.008000000000000007,0.425,0.385,0.03999999999999998,0.349,0.333,0.01599999999999996
"Turner, Trea","607208","2024","539","408",0.295,0.264,0.030999999999999972,0.469,0.419,0.04999999999999999,0.349,0.318,0.030999999999999972
"Turner, Justin","457759","2024","539","372",0.259,0.252,0.007000000000000006,0.383,0.383,0,0.327,0.328,-0.0010000000000000009
"Rodgers, Brendan","663898","2024","539","372",0.267,0.248,0.019000000000000017,0.407,0.377,0.02999999999999997,0.314,0.295,0.019000000000000017
"Sánchez, Jesús","660821","2024","537","352",0.252,0.264,-0.01200000000000001,0.417,0.468,-0.051000000000000045,0.317,0.343,-0.026000000000000023
"France, Ty","664034","2024","535","370",0.234,0.228,0.006000000000000005,0.365,0.387,-0.02200000000000002,0.296,0.303,-0.007000000000000006
"Langeliers, Shea","669127","2024","534","343",0.224,0.241,-0.016999999999999987,0.45,0.456,-0.006000000000000005,0.315,0.328,-0.013000000000000012
"Seager, Corey","608369","2024","533","381",0.278,0.289,-0.010999999999999954,0.512,0.561,-0.049000000000000044,0.365,0.39,-0.025000000000000022
"Taveras, Leody","665750","2024","529","375",0.229,0.24,-0.010999999999999982,0.352,0.368,-0.016000000000000014,0.282,0.295,-0.013000000000000012
"Thomas, Lane","657041","2024","528","340",0.237,0.242,-0.0050000000000000044,0.4,0.377,0.02300000000000002,0.309,0.307,0.0020000000000000018
"García Jr., Luis","671277","2024","528","415",0.282,0.278,0.003999999999999948,0.444,0.452,-0.008000000000000007,0.328,0.331,-0.0030000000000000027
"Frelick, Sal","686217","2024","524","400",0.259,0.246,0.013000000000000012,0.335,0.304,0.031000000000000028,0.292,0.278,0.013999999999999957
"Benintendi, Andrew","643217","2024","522","384",0.229,0.243,-0.013999999999999985,0.396,0.389,0.007000000000000006,0.298,0.303,-0.0050000000000000044
"O'Hoppe, Logan","681351","2024","522","326",0.244,0.251,-0.007000000000000006,0.409,0.454,-0.04500000000000004,0.311,0.331,-0.020000000000000018
"Young, Jacob","696285","2024","521","377",0.256,0.253,0.0030000000000000027,0.331,0.317,0.014000000000000012,0.29,0.286,0.0040000000000000036
"Ramos, Heliot","671218","2024","518","344",0.269,0.25,0.019000000000000017,0.469,0.481,-0.01200000000000001,0.339,0.338,0.0010000000000000009
"Hoskins, Rhys","656555","2024","517","306",0.214,0.202,0.011999999999999983,0.419,0.387,0.03199999999999997,0.313,0.301,0.01200000000000001
"Betts, Mookie","605141","2024","516","397",0.289,0.282,0.007000000000000006,0.491,0.447,0.043999999999999984,0.371,0.356,0.015000000000000013
"McCutchen, Andrew","457705","2024","515","317",0.232,0.227,0.0050000000000000044,0.411,0.421,-0.010000000000000009,0.325,0.327,-0.0020000000000000018
"Stephenson, Tyler","663886","2024","515","342",0.258,0.241,0.017000000000000015,0.444,0.403,0.04099999999999998,0.339,0.322,0.017000000000000015
"Varsho, Daulton","662139","2024","513","324",0.214,0.186,0.027999999999999997,0.407,0.316,0.09099999999999997,0.304,0.261,0.04299999999999998
"Meyers, Jake","676694","2024","513","351",0.219,0.235,-0.015999999999999986,0.36,0.382,-0.02200000000000002,0.285,0.304,-0.019000000000000017
"Ortiz, Joey","687401","2024","511","346",0.239,0.234,0.004999999999999977,0.398,0.343,0.05499999999999999,0.319,0.305,0.014000000000000012
"Winker, Jesse","608385","2024","508","329",0.253,0.245,0.008000000000000007,0.405,0.384,0.02100000000000002,0.338,0.329,0.009000000000000008
"Mountcastle, Ryan","663624","2024","507","365",0.271,0.272,-0.0010000000000000009,0.425,0.445,-0.020000000000000018,0.316,0.332,-0.016000000000000014
"Sheets, Gavin","657757","2024","501","348",0.233,0.251,-0.017999999999999988,0.357,0.38,-0.02300000000000002,0.291,0.309,-0.018000000000000016
"Mullins, Cedric","656775","2024","499","350",0.234,0.227,0.007000000000000006,0.405,0.355,0.050000000000000044,0.31,0.291,0.019000000000000017
"Blackmon, Charlie","453568","2024","499","364",0.256,0.249,0.007000000000000006,0.412,0.365,0.046999999999999986,0.323,0.306,0.017000000000000015
"Kiner-Falefa, Isiah","643396","2024","496","392",0.269,0.251,0.018000000000000016,0.376,0.346,0.030000000000000027,0.299,0.283,0.016000000000000014
"Martinez, J.D.","502110","2024","495","295",0.235,0.256,-0.02100000000000002,0.406,0.472,-0.06599999999999995,0.318,0.351,-0.032999999999999974
"McCarthy, Jake","664983","2024","495","372",0.285,0.265,0.019999999999999962,0.4,0.359,0.041000000000000036,0.329,0.311,0.018000000000000016
"O'Hearn, Ryan","656811","2024","494","377",0.264,0.278,-0.014000000000000012,0.427,0.461,-0.03400000000000003,0.33,0.351,-0.020999999999999963
"Heim, Jonah","641680","2024","491","371",0.22,0.228,-0.008000000000000007,0.336,0.356,-0.019999999999999962,0.265,0.277,-0.01200000000000001
"Conforto, Michael","624424","2024","488","323",0.237,0.257,-0.020000000000000018,0.45,0.479,-0.02899999999999997,0.327,0.35,-0.022999999999999965
"Wong, Connor","657136","2024","487","336",0.28,0.231,0.049000000000000016,0.425,0.355,0.07,0.33,0.288,0.04200000000000004
"Lux, Gavin","666158","2024","487","331",0.251,0.259,-0.008000000000000007,0.383,0.386,-0.0030000000000000027,0.31,0.318,-0.008000000000000007
"Ruiz, Keibert","660688","2024","485","410",0.229,0.251,-0.021999999999999992,0.359,0.35,0.009000000000000008,0.268,0.279,-0.01100000000000001
"Caballero, José","676609","2024","483","314",0.227,0.217,0.010000000000000009,0.347,0.315,0.03199999999999997,0.277,0.267,0.010000000000000009
"DeJong, Paul","657557","2024","482","294",0.227,0.218,0.009000000000000008,0.427,0.395,0.03199999999999997,0.302,0.291,0.01100000000000001
"Pham, Tommy","502054","2024","478","335",0.248,0.263,-0.015000000000000013,0.368,0.407,-0.03899999999999998,0.297,0.319,-0.02200000000000002
"Marsh, Brandon","669016","2024","476","270",0.249,0.236,0.013000000000000012,0.419,0.406,0.012999999999999956,0.326,0.324,0.0020000000000000018
"Rojas, Josh","668942","2024","476","317",0.225,0.223,0.0020000000000000018,0.336,0.35,-0.013999999999999957,0.286,0.293,-0.007000000000000006
"Yastrzemski, Mike","573262","2024","474","306",0.231,0.219,0.01200000000000001,0.437,0.397,0.03999999999999998,0.319,0.301,0.018000000000000016
"O'Neill, Tyler","641933","2024","473","254",0.241,0.213,0.027999999999999997,0.511,0.48,0.031000000000000028,0.36,0.339,0.020999999999999963
"McNeil, Jeff","643446","2024","472","360",0.238,0.235,0.0030000000000000027,0.384,0.336,0.04799999999999999,0.304,0.288,0.016000000000000014
"Kim, Ha-Seong","673490","2024","470","333",0.233,0.245,-0.011999999999999983,0.37,0.352,0.018000000000000016,0.308,0.313,-0.0050000000000000044
"Harris II, Michael","671739","2024","470","349",0.264,0.284,-0.019999999999999962,0.418,0.461,-0.04300000000000004,0.312,0.344,-0.03199999999999997
"Riley, Austin","663586","2024","469","309",0.256,0.267,-0.01100000000000001,0.461,0.505,-0.043999999999999984,0.338,0.361,-0.022999999999999965
"Polanco, Jorge","593871","2024","468","281",0.214,0.226,-0.01200000000000001,0.356,0.399,-0.04300000000000004,0.288,0.309,-0.02100000000000002
"Jeffers, Ryan","680777","2024","465","325",0.226,0.227,-0.0010000000000000009,0.432,0.386,0.045999999999999985,0.317,0.304,0.013000000000000012
"Candelario, Jeimer","600869","2024","463","316",0.225,0.221,0.0040000000000000036,0.429,0.364,0.065,0.304,0.28,0.023999999999999966
"Bogaerts, Xander","593428","2024","463","355",0.264,0.262,0.0020000000000000018,0.381,0.382,-0.0010000000000000009,0.3,0.305,-0.0050000000000000044
"Canha, Mark","592192","2024","462","302",0.242,0.212,0.03,0.346,0.306,0.03999999999999998,0.31,0.288,0.02200000000000002
"Urshela, Gio","570482","2024","461","365",0.25,0.264,-0.014000000000000012,0.361,0.389,-0.028000000000000025,0.281,0.302,-0.020999999999999963
"Schuemann, Max","680474","2024","459","286",0.22,0.222,-0.0020000000000000018,0.308,0.338,-0.030000000000000027,0.281,0.296,-0.014999999999999958
"Stanton, Giancarlo","519317","2024","459","276",0.233,0.249,-0.015999999999999986,0.475,0.509,-0.03400000000000003,0.33,0.352,-0.021999999999999964
"Toglia, Michael","669911","2024","458","255",0.218,0.244,-0.025999999999999995,0.456,0.503,-0.046999999999999986,0.329,0.358,-0.02899999999999997
"Raley, Luke","670042","2024","455","273",0.243,0.22,0.022999999999999993,0.463,0.418,0.04500000000000004,0.339,0.316,0.02300000000000002
"Schneider, Davis","676914","2024","454","258",0.191,0.198,-0.007000000000000006,0.343,0.358,-0.014999999999999958,0.277,0.292,-0.014999999999999958
"Vientos, Mark","668901","2024","454","283",0.266,0.246,0.020000000000000018,0.516,0.463,0.05299999999999999,0.356,0.331,0.024999999999999967
"Clement, Ernie","676391","2024","452","397",0.263,0.252,0.01100000000000001,0.408,0.373,0.034999999999999976,0.297,0.282,0.015000000000000013
"Adell, Jo","666176","2024","451","282",0.207,0.224,-0.017000000000000015,0.402,0.418,-0.01599999999999996,0.296,0.312,-0.016000000000000014
"Melendez, MJ","669004","2024","451","299",0.206,0.239,-0.033,0.4,0.425,-0.024999999999999967,0.292,0.317,-0.025000000000000022
"Butler, Lawrence","671732","2024","451","308",0.262,0.258,0.0040000000000000036,0.49,0.468,0.021999999999999964,0.345,0.339,0.00599999999999995
"Crawford, J.P.","641487","2024","451","291",0.202,0.227,-0.024999999999999994,0.321,0.363,-0.04199999999999998,0.283,0.309,-0.026000000000000023
"Kelenic, Jarred","672284","2024","449","283",0.231,0.241,-0.009999999999999981,0.393,0.412,-0.01899999999999996,0.294,0.308,-0.014000000000000012
"Pederson, Joc","592626","2024","449","266",0.275,0.261,0.014000000000000012,0.515,0.477,0.038000000000000034,0.391,0.376,0.015000000000000013
"Siri, Jose","642350","2024","448","238",0.187,0.2,-0.013000000000000012,0.366,0.409,-0.04299999999999998,0.271,0.297,-0.025999999999999968
"Bailey, Patrick","672275","2024","448","309",0.234,0.258,-0.023999999999999994,0.339,0.398,-0.059,0.281,0.319,-0.03799999999999998
"Abreu, Wilyer","677800","2024","447","279",0.253,0.229,0.023999999999999994,0.459,0.418,0.041000000000000036,0.336,0.317,0.019000000000000017
"Westburg, Jordan","676059","2024","447","321",0.264,0.281,-0.017000000000000015,0.481,0.491,-0.010000000000000009,0.34,0.353,-0.012999999999999956
"Triolo, Jared","669707","2024","446","281",0.216,0.224,-0.008000000000000007,0.315,0.332,-0.017000000000000015,0.275,0.289,-0.013999999999999957
"Lopez, Nicky","670032","2024","445","337",0.241,0.227,0.013999999999999985,0.294,0.288,0.006000000000000005,0.275,0.268,0.007000000000000006
"Pages, Andy","681624","2024","443","299",0.248,0.251,-0.0030000000000000027,0.407,0.422,-0.015000000000000013,0.31,0.321,-0.01100000000000001
"Rocchio, Brayan","677587","2024","442","300",0.206,0.21,-0.0040000000000000036,0.316,0.302,0.014000000000000012,0.276,0.275,0.0010000000000000009
"Moore, Dylan","664238","2024","441","251",0.201,0.201,0,0.367,0.324,0.04299999999999998,0.306,0.297,0.009000000000000008
"Tatis Jr., Fernando","665487","2024","438","303",0.276,0.298,-0.021999999999999964,0.492,0.538,-0.04600000000000004,0.359,0.387,-0.028000000000000025
"Bader, Harrison","664056","2024","437","313",0.236,0.242,-0.006000000000000005,0.373,0.377,-0.0040000000000000036,0.285,0.294,-0.009000000000000008
"Albies, Ozzie","645277","2024","435","338",0.251,0.246,0.0050000000000000044,0.404,0.387,0.017000000000000015,0.307,0.302,0.0050000000000000044
"Perkins, Blake","663368","2024","434","281",0.24,0.218,0.021999999999999992,0.332,0.311,0.02100000000000002,0.288,0.275,0.012999999999999956
"Lopez, Otto","672640","2024","434","332",0.27,0.274,-0.0040000000000000036,0.377,0.394,-0.017000000000000015,0.302,0.313,-0.01100000000000001
"Garver, Mitch","641598","2024","430","237",0.172,0.18,-0.008000000000000007,0.341,0.335,0.006000000000000005,0.281,0.285,-0.003999999999999948
"Miranda, Jose","669304","2024","429","339",0.284,0.259,0.024999999999999967,0.441,0.399,0.04199999999999998,0.328,0.306,0.02200000000000002
"Dubón, Mauricio","643289","2024","428","355",0.269,0.248,0.02100000000000002,0.361,0.33,0.030999999999999972,0.286,0.272,0.013999999999999957
"Isbel, Kyle","664728","2024","426","306",0.229,0.234,-0.0050000000000000044,0.367,0.333,0.033999999999999975,0.286,0.281,0.004999999999999949
